"CP_X.x","CP_Station.Name.x","CP_Org.Name.x","CP_Address.1.x","CP_City.x","CP_State.x","CP_Postal.Code","CP_County","CP_Country","CP_No..of.Ports.x","CP_Station.Activation.Type.x","CP_Customer.Category.x","CP_addresses","CP_lon.x","CP_lat.x","CP_X.y","CP_Station.Name.y","CP_Org.Name.y","CP_Address.1.y","CP_City.y","CP_State.y","CP_No..of.Ports.y","CP_Station.Activation.Type.y","CP_Customer.Category.y","CP_lon.y","CP_lat.y","EV_Station.name","EV_Ports","EV_Number.of.Stations","EV_NewLat","EV_NewLong"
46,"PARKING GARAGE / SMC 1","HPH Straub Medical Center","888 S King St","Honolulu","Hawaii",96813,"Honolulu County","United States",2,"Public","Healthcare","888 S King St,Honolulu,Hawaii",NA,NA,46,"PARKING GARAGE / SMC 1","HPH Straub Medical Center","888 S King St","Honolulu","Hawaii",2,"Public","Healthcare",-157.8501322,21.3025814,"Straub Clinic & Hospital - Hawaii Pacific Health",2,2,21.30258,-157.85054
47,"PALI MOMI / PMMC STATION #2","HPH Pali Momi Medical Center","98-1079 Moanalua Rd","Aiea","Hawaii",96701,"Honolulu County","United States",2,"Public","Healthcare","98-1079 Moanalua Rd,Aiea,Hawaii",NA,NA,47,"PALI MOMI / PMMC STATION #2","HPH Pali Momi Medical Center","98-1079 Moanalua Rd","Aiea","Hawaii",2,"Public","Healthcare",-157.9382973,21.3835987,"Pali Momi Medical Center - Hawaii Pacific Health",2,2,21.38328,-157.9386
47,"PALI MOMI / PMMC STATION #2","HPH Pali Momi Medical Center","98-1079 Moanalua Rd","Aiea","Hawaii",96701,"Honolulu County","United States",2,"Public","Healthcare","98-1079 Moanalua Rd,Aiea,Hawaii",NA,NA,48,"PALI MOMI / PMMC STATION #1","HPH Pali Momi Medical Center","98-1079 Moanalua Rd","Aiea","Hawaii",2,"Public","Healthcare",-157.9382973,21.3835987,"Pali Momi Medical Center - Hawaii Pacific Health",2,2,21.38328,-157.9386
48,"PALI MOMI / PMMC STATION #1","HPH Pali Momi Medical Center","98-1079 Moanalua Rd","Aiea","Hawaii",96701,"Honolulu County","United States",2,"Public","Healthcare","98-1079 Moanalua Rd,Aiea,Hawaii",NA,NA,47,"PALI MOMI / PMMC STATION #2","HPH Pali Momi Medical Center","98-1079 Moanalua Rd","Aiea","Hawaii",2,"Public","Healthcare",-157.9382973,21.3835987,"Pali Momi Medical Center - Hawaii Pacific Health",2,2,21.38328,-157.9386
48,"PALI MOMI / PMMC STATION #1","HPH Pali Momi Medical Center","98-1079 Moanalua Rd","Aiea","Hawaii",96701,"Honolulu County","United States",2,"Public","Healthcare","98-1079 Moanalua Rd,Aiea,Hawaii",NA,NA,48,"PALI MOMI / PMMC STATION #1","HPH Pali Momi Medical Center","98-1079 Moanalua Rd","Aiea","Hawaii",2,"Public","Healthcare",-157.9382973,21.3835987,"Pali Momi Medical Center - Hawaii Pacific Health",2,2,21.38328,-157.9386
49,"NCC DEMO / ALOHA CHARGE","DEMO Org - NCC (Natl Car Charging)","1801 Kalakaua Ave","Honolulu","Hawaii",96815,"Honolulu County","United States",2,"Public","Demo Unit","1801 Kalakaua Ave,Honolulu,Hawaii",NA,NA,49,"NCC DEMO / ALOHA CHARGE","DEMO Org - NCC (Natl Car Charging)","1801 Kalakaua Ave","Honolulu","Hawaii",2,"Public","Demo Unit",-157.8358919,21.2896943,"Hawaii Convention Center",1,1,21.2898138888889,-157.83592
56,"MAUI OCEAN CLUB / MARRIOTT MOC","Marriott MOC","100 Nohea Kai Dr","Lahaina","Hawaii",96761,"Maui County","United States",1,"Public","Hospitality","100 Nohea Kai Dr,Lahaina,Hawaii",NA,NA,56,"MAUI OCEAN CLUB / MARRIOTT MOC","Marriott MOC","100 Nohea Kai Dr","Lahaina","Hawaii",1,"Public","Hospitality",-156.695292,20.915844,"Marriott Maui Ocean Club",1,1,20.9158438888889,-156.695291944444
58,"MAUI ELECTRIC / MECO 001","MECO","210 W Kamehameha Ave","Kahului","Hawaii",96732,"Maui County","United States",2,"Public","Workplace","210 W Kamehameha Ave,Kahului,Hawaii",NA,NA,58,"MAUI ELECTRIC / MECO 001","MECO","210 W Kamehameha Ave","Kahului","Hawaii",2,"Public","Workplace",-156.47213,20.884633,"Maui Electric Company Ltd.",1,1,20.88463,-156.47213
63,"KO'OLINA BC / NAIA","Marriott Ko","92-149 Waipahe Pl","Kapolei","Hawaii",96707,"Honolulu County","United States",2,"Public","Hospitality","92-149 Waipahe Pl,Kapolei,Hawaii",NA,NA,63,"KO'OLINA BC / NAIA","Marriott Ko","92-149 Waipahe Pl","Kapolei","Hawaii",2,"Public","Hospitality",-158.121542,21.33114,"Marriott's Ko Olina Beach Club",6,3,21.33114,-158.121541944444
63,"KO'OLINA BC / NAIA","Marriott Ko","92-149 Waipahe Pl","Kapolei","Hawaii",96707,"Honolulu County","United States",2,"Public","Hospitality","92-149 Waipahe Pl,Kapolei,Hawaii",NA,NA,63,"KO'OLINA BC / NAIA","Marriott Ko","92-149 Waipahe Pl","Kapolei","Hawaii",2,"Public","Hospitality",-158.121542,21.33114,"Naia",2,1,21.33114,-158.12154
